,Vaccine,Year,Coverage
0,Combined 7-vaccine series\1,2010,
1,Total,2010,65.9
2,Not Hispanic or Latino\2:,2010,
3,White only,2010,67.1
4,Black or African American only,2010,63.8
5,American Indian or Alaska Native only,2010,
6,Asian only,2010,66.7
7,Native Hawaiian or Other Pacific Islander only,2010,
8,2 or more races,2010,65.1
9,Hispanic or Latino\2,2010,65.3
10,Poverty level\3:,2010,
11,Below poverty,2010,60.5
12,At or above poverty,2010,69.1
13,"Hispanic origin, race, and poverty level\2,\3:",2010,
14,Not Hispanic or Latino:,2010,
15,White only:,2010,
16,Below poverty,2010,53.9
17,At or above poverty,2010,70.1
18,Black or African American only:,2010,
19,Below poverty,2010,61.3
20,At or above poverty,2010,68.6
21,Hispanic or Latino: ,2010,
22,Below poverty,2010,66.4
23,At or above poverty,2010,63.6
24,Location of residence\4:,2010,
25,Inside MSA:,2010,
26,Principal city,2010,66.3
27,Nonprincipal city,2010,65.5
28,Outside MSA,2010,65.9
29,DTP/DT/DTaP (4 doses or more)\5,2010,
30,Total,2010,79.7
31,Not Hispanic or Latino\2:,2010,
32,White only,2010,81.3
33,Black or African American only,2010,76.1
34,American Indian or Alaska Native only,2010,83.6
35,Asian only,2010,83.2
36,Native Hawaiian or Other Pacific Islander only,2010,
37,2 or more races,2010,79.0
38,Hispanic or Latino\2,2010,78.3
39,Poverty level\3:,2010,
40,Below poverty,2010,75.0
41,At or above poverty,2010,82.8
42,Location of residence\4:,2010,
43,Inside MSA:,2010,
44,Principal city,2010,80.1
45,Nonprincipal city,2010,80.1
46,Outside MSA,2010,77.7
47,Polio (3 doses or more),2010,
48,Total,2010,91.9
49,Not Hispanic or Latino\2:,2010,
50,White only,2010,92.2
51,Black or African American only,2010,92.1
52,American Indian or Alaska Native only,2010,94.5
53,Asian only,2010,93.8
54,Native Hawaiian or Other Pacific Islander only,2010,
55,2 or more races,2010,91.5
56,Hispanic or Latino\2,2010,91.4
57,Poverty level\3:,2010,
58,Below poverty,2010,90.5
59,At or above poverty,2010,92.8
60,Location of residence\4:,2010,
61,Inside MSA:,2010,
62,Principal city,2010,91.8
63,Nonprincipal city,2010,91.9
64,Outside MSA,2010,92.4
65,"Measles, mumps, rubella (1 dose or more)\6",2010,
66,Total,2010,90.0
67,Not Hispanic or Latino\2:,2010,
68,White only,2010,89.7
69,Black or African American only,2010,89.3
70,American Indian or Alaska Native only,2010,88.5
71,Asian only,2010,93.2
72,Native Hawaiian or Other Pacific Islander only,2010,
73,2 or more races,2010,90.6
74,Hispanic or Latino\2,2010,90.7
75,Poverty level\3:,2010,
76,Below poverty,2010,88.9
77,At or above poverty,2010,90.7
