county,Date,time_to_outbreak,event,hazard_score,risk_percentile
orlando,2025-01-01,12.0,0,110139.03861447237,99.65899403239557
san_antonio,2024-12-01,12.0,0,109742.07720999802,99.64833759590793
san_juan,2024-12-01,12.0,0,108849.86657044906,99.63768115942028
fort_myers,2024-12-01,12.0,0,108445.25709232037,99.62702472293266
palm_springs,2024-12-01,12.0,0,108350.58604473899,99.61636828644501
san_diego,2024-12-01,12.0,0,107801.82450251169,99.60571184995737
salt_lake_city,2024-12-01,12.0,0,107361.51605151461,99.59505541346974
austin,2024-12-01,12.0,0,107181.19223391675,99.5843989769821
saipan,2024-12-01,12.0,0,107175.8194372547,99.57374254049446
oakland,2024-12-01,12.0,0,106966.96694855235,99.56308610400681
kahului,2024-12-01,12.0,0,106376.7345093233,99.55242966751918
raleigh,2024-12-01,12.0,0,105862.73224856112,99.54177323103154
san_jose,2024-12-01,12.0,0,105587.48891579545,99.5311167945439
fresno,2024-12-01,12.0,0,105484.14880632795,99.52046035805625
baltimore,2024-12-01,12.0,0,105424.23675236858,99.50980392156863
west_palm_beach,2024-12-01,12.0,0,105369.87547480968,99.49914748508098
portland,2024-12-01,12.0,0,105290.67329024035,99.48849104859335
sacramento,2024-12-01,12.0,0,105191.02188597132,99.47783461210571
ontario,2024-12-01,12.0,0,105027.56371407688,99.46717817561807
laguna_beach,2024-12-01,12.0,0,104840.64826075114,99.45652173913044
nashville,2024-12-01,12.0,0,104808.53561683929,99.4458653026428
new_orleans,2024-12-01,12.0,0,104759.04303144473,99.43520886615515
kona,2024-12-01,12.0,0,104681.58272989372,99.42455242966753
cincinnati,2024-12-01,12.0,0,104165.79141858518,99.41389599317988
pittsburgh,2024-12-01,12.0,0,103931.65545063448,99.40323955669224
mcallen,2024-12-01,12.0,0,103927.14018598272,99.3925831202046
st._louis,2024-12-01,12.0,0,103916.60533130621,99.38192668371697
kauai_island,2024-12-01,12.0,0,103865.68263524919,99.37127024722933
newburgh,2024-12-01,12.0,0,103766.33954591905,99.36061381074168
sarasota,2024-12-01,12.0,0,103729.58704578657,99.34995737425405
reno,2024-12-01,12.0,0,103719.53438451292,99.33930093776641
newark,2025-01-01,12.0,0,103668.04257908155,99.32864450127877
teterboro,2024-12-01,12.0,0,103660.16267692197,99.31798806479112
cleveland,2024-12-01,12.0,0,103651.27139915904,99.3073316283035
hartford,2024-12-01,12.0,0,103584.09185801861,99.29667519181585
brownsville,2024-12-01,12.0,0,103501.27399354322,99.28601875532821
vail,2024-12-01,12.0,0,103484.90281732105,99.27536231884058
white_plains,2024-12-01,12.0,0,103477.87092408884,99.26470588235294
laredo,2024-12-01,12.0,0,103473.26010595523,99.2540494458653
scottsdale,2024-12-01,12.0,0,103453.09019215488,99.24339300937767
st._thomas_island,2024-12-01,12.0,0,103447.09760408466,99.23273657289002
naples,2024-12-01,12.0,0,103436.95709197268,99.2220801364024
el_paso,2024-12-01,12.0,0,103433.8459977703,99.21142369991475
bangor,2024-12-01,12.0,0,103433.03943306644,99.20076726342711
tuscon,2024-12-01,12.0,0,103429.81323714615,99.19011082693947
kendall-tamiami,2024-12-01,12.0,0,103429.58279843094,99.174126172208
kansas_city,2024-12-01,12.0,0,103429.58279843094,99.174126172208
vail:eagle,2024-12-01,12.0,0,103425.08934610293,99.15814151747657
conroe,2024-12-01,12.0,0,103420.94171722267,99.14748508098891
boca_raton,2024-12-01,12.0,0,103418.86796515726,99.13682864450128
columbus,2024-12-01,12.0,0,103408.96061254191,99.12617220801364
bedford,2024-12-01,12.0,0,103408.73022028594,99.11551577152599
burlington,2024-12-01,12.0,0,103406.19593934725,99.10485933503837
wilmington,2024-12-01,12.0,0,103402.62501253339,99.09420289855072
jacksonville,2024-12-01,12.0,0,103401.24275138939,99.08354646206308
norfolk,2024-12-01,12.0,0,103399.5149509437,99.07289002557545
buffalo,2024-12-01,12.0,0,103399.16939431913,99.05690537084399
indianapolis,2024-12-01,12.0,0,103399.16939431913,99.05690537084399
anchorage,2024-12-01,12.0,0,103397.9023632425,99.04092071611254
farmingdale,2024-12-01,12.0,0,103396.6353476916,99.02493606138107
boise,2024-12-01,12.0,0,103396.6353476916,99.02493606138107
bullhead_city,2024-12-01,12.0,0,103396.28980069053,99.00895140664962
aguadilla,2024-12-01,12.0,0,103396.1746186136,98.99829497016198
van_nuys,2024-12-01,12.0,0,103395.36834766662,98.98763853367434
north_kingstown,2024-12-01,12.0,0,103395.25316661617,98.9769820971867
providence,2024-12-01,12.0,0,103394.10136316718,98.96632566069906
carlsbad,2024-12-01,12.0,0,103393.8710040172,98.95566922421143
long_beach,2024-12-01,12.0,0,103393.1799296463,98.94501278772378
midland,2024-12-01,12.0,0,103391.4522639277,98.93435635123615
windsor_locks,2024-12-01,12.0,0,103391.22191067983,98.92369991474851
memphis,2024-12-01,12.0,0,103390.41567835366,98.91304347826086
charleston,2024-12-01,12.0,0,103390.30050282023,98.89705882352942
milwaukee,2024-12-01,12.0,0,103390.30050282023,98.89705882352942
greenville,2024-12-01,12.0,0,103388.68805882477,98.88107416879795
stuart,2024-12-01,12.0,0,103388.5728852159,98.87041773231032
savannah,2024-12-01,12.0,0,103388.34253838321,98.85976129582268
pontiac,2024-12-01,12.0,0,103387.76667354649,98.84910485933503
rochester,2024-12-01,12.0,0,103386.96046816384,98.8384484228474
west_chicago,2024-12-01,12.0,0,103386.15426906788,98.82779198635976
addison,2024-12-01,12.0,0,103385.80875709394,98.81713554987212
sugar_land,2024-12-01,12.0,0,103385.69358669274,98.80647911338448
broomdield-co,2024-12-01,12.0,0,103383.15987032263,98.79582267689685
greensboro,2024-12-01,12.0,0,103383.04470287207,98.77450980392157
fargo,2024-12-01,12.0,0,103383.04470287207,98.77450980392157
columbia,2024-12-01,12.0,0,103383.04470287207,98.77450980392157
everett,2024-12-01,12.0,0,103382.9295355498,98.74786871270247
bellingham,2024-12-01,12.0,0,103382.9295355498,98.74786871270247
casper,2024-12-01,12.0,0,103382.81436835583,98.73188405797102
melbourne,2024-12-01,12.0,0,103382.46886754388,98.72122762148338
great_falls,2024-12-01,12.0,0,103382.3537008631,98.70524296675191
fort_pierce,2024-12-01,12.0,0,103382.3537008631,98.70524296675191
portsmouth,2024-12-01,12.0,0,103382.23853431077,98.68393009377664
wichita,2024-12-01,12.0,0,103382.23853431077,98.68393009377664
bozeman,2024-12-01,12.0,0,103382.12336788657,98.66794543904518
nogales,2024-12-01,12.0,0,103382.00820159067,98.65196078431373
des_moines,2024-12-01,12.0,0,103382.00820159067,98.65196078431373
south_bend,2024-12-01,12.0,0,103381.7778693839,98.63064791133846
peoria,2024-12-01,12.0,0,103381.7778693839,98.63064791133846
santa_teresa,2024-12-01,12.0,0,103381.66270347289,98.61466325660699
dallas-fort_worth,2024-12-01,12.0,0,103381.31720650975,98.60400682011935
minot,2024-12-01,12.0,0,103381.08687584232,98.59335038363172
raleigh-durham,2024-12-01,12.0,0,103380.97171070124,98.58269394714408
morristown,2024-12-01,12.0,0,103380.85654568825,98.57203751065644
oklahoma_city,2024-12-01,12.0,0,103380.74138080356,98.55605285592497
aspen,2024-12-01,12.0,0,103380.74138080356,98.55605285592497
spokane,2024-12-01,12.0,0,103380.62621604718,98.54006820119352
st._paul,2024-12-01,12.0,0,103380.51105141926,98.52941176470588
tallahassee,2024-12-01,12.0,0,103380.39588691945,98.51875532821825
st._croix_island,2024-12-01,12.0,0,103380.1655583047,98.50277067348678
louisville,2024-12-01,12.0,0,103380.1655583047,98.50277067348678
tulsa,2024-12-01,12.0,0,103380.05039418995,98.4814578005115
leesburg,2024-12-01,12.0,0,103380.05039418995,98.4814578005115
fort_worth,2024-12-01,12.0,0,103379.93523020331,98.46547314578005
san_bernardino,2024-12-01,12.0,0,103379.82006634495,98.4494884910486
syracuse,2024-12-01,12.0,0,103379.82006634495,98.4494884910486
kalispell,2024-12-01,12.0,0,103379.70490261508,98.4228473998295
richmond,2024-12-01,12.0,0,103379.70490261508,98.4228473998295
dayton,2024-12-01,12.0,0,103379.70490261508,98.4228473998295
daytona_beach,2024-12-01,12.0,0,103379.5897390133,98.39087809036658
friday_harbor,2024-12-01,12.0,0,103379.5897390133,98.39087809036658
rogers,2024-12-01,12.0,0,103379.5897390133,98.39087809036658
mesa,2024-12-01,12.0,0,103379.47457553982,98.36956521739131
grand_rapids,2024-12-01,12.0,0,103379.35941219464,98.35358056265984
birmingham,2024-12-01,12.0,0,103379.35941219464,98.35358056265984
islip,2024-12-01,12.0,0,103379.1290858893,98.32161125319693
chicago-wheeling,2024-12-01,12.0,0,103379.1290858893,98.32161125319693
rockford,2024-12-01,12.0,0,103379.1290858893,98.32161125319693
amarillo,2024-12-01,12.0,0,103379.1290858893,98.32161125319693
coeur_d'alene,2024-12-01,12.0,0,103379.01392292899,98.29497016197783
albany,2024-12-01,12.0,0,103378.89876009696,98.2843137254902
albuquerque,2024-12-01,12.0,0,103378.7835973934,98.26832907075874
mobile,2024-12-01,12.0,0,103378.7835973934,98.26832907075874
trenton,2024-12-01,12.0,0,103378.66843481796,98.25234441602728
colorado_springs,2024-12-01,12.0,0,103378.55327237079,98.24168797953963
omaha,2024-12-01,12.0,0,103378.32294786152,98.2257033248082
vero_beach,2024-12-01,12.0,0,103378.32294786152,98.2257033248082
lakeland,2024-12-01,12.0,0,103378.20778579923,98.20971867007673
appleton,2024-12-01,12.0,0,103378.09262386523,98.19373401534527
st._thomas,2024-12-01,12.0,0,103378.09262386523,98.19373401534527
camp_springs,2024-12-01,12.0,0,103377.9774620597,98.1777493606138
niagara_falls,2024-12-01,12.0,0,103377.86230038227,98.16176470588235
jackson,2024-12-01,12.0,0,103377.86230038227,98.16176470588235
moline,2024-12-01,12.0,0,103377.74713883313,98.1457800511509
key_west,2024-12-01,12.0,0,103377.63197741228,98.12979539641944
rifle,2024-12-01,12.0,0,103377.63197741228,98.12979539641944
springfield,2024-12-01,12.0,0,103377.51681611991,98.10848252344417
renton,2024-12-01,12.0,0,103377.51681611991,98.10848252344417
erie,2024-12-01,12.0,0,103377.40165495564,98.06585677749361
green_bay,2024-12-01,12.0,0,103377.40165495564,98.06585677749361
calexico,2024-12-01,12.0,0,103377.40165495564,98.06585677749361
flint,2024-12-01,12.0,0,103377.40165495564,98.06585677749361
lexington_ky,2024-12-01,12.0,0,103377.40165495564,98.06585677749361
gary,2024-12-01,12.0,0,103377.40165495564,98.06585677749361
chattanooga,2024-12-01,12.0,0,103377.28649391966,98.02323103154306
toledo,2024-12-01,12.0,0,103377.28649391966,98.02323103154306
sioux_falls,2024-12-01,12.0,0,103377.17133301195,97.99126172208014
eagle_pass,2024-12-01,12.0,0,103377.17133301195,97.99126172208014
santa_barbara,2024-12-01,12.0,0,103377.17133301195,97.99126172208014
harrisburg,2024-12-01,12.0,0,103377.17133301195,97.99126172208014
port_clinton,2024-12-01,12.0,0,103377.05617223273,97.92732310315431
palm_desert,2024-12-01,12.0,0,103377.05617223273,97.92732310315431
tuscaloosa,2024-12-01,12.0,0,103377.05617223273,97.92732310315431
myrtle_beach,2024-12-01,12.0,0,103377.05617223273,97.92732310315431
atlantic_city,2024-12-01,12.0,0,103377.05617223273,97.92732310315431
yuma,2024-12-01,12.0,0,103377.05617223273,97.92732310315431
allentown,2024-12-01,12.0,0,103377.05617223273,97.92732310315431
st._augustine_airport,2024-12-01,12.0,0,103377.05617223273,97.92732310315431
manassas,2024-12-01,12.0,0,103376.94101158161,97.8420716112532
fairbanks,2024-12-01,12.0,0,103376.94101158161,97.8420716112532
ceiba,2024-12-01,12.0,0,103376.94101158161,97.8420716112532
st._petersburg,2024-12-01,12.0,0,103376.94101158161,97.8420716112532
hillsboro,2024-12-01,12.0,0,103376.94101158161,97.8420716112532
kalamazoo,2024-12-01,12.0,0,103376.94101158161,97.8420716112532
west_hampton_beach,2024-12-01,12.0,0,103376.94101158161,97.8420716112532
sanford,2024-12-01,12.0,0,103376.94101158161,97.8420716112532
corpus_christi,2024-12-01,12.0,0,103376.82585105878,97.76214833759592
scranton,2024-12-01,12.0,0,103376.82585105878,97.76214833759592
bristol,2024-12-01,12.0,0,103376.82585105878,97.76214833759592
marathon,2024-12-01,12.0,0,103376.82585105878,97.76214833759592
holland,2024-12-01,12.0,0,103376.82585105878,97.76214833759592
del_rio,2024-12-01,12.0,0,103376.82585105878,97.76214833759592
houma,2024-12-01,12.0,0,103376.82585105878,97.76214833759592
harlingen,2024-12-01,12.0,0,103376.71069066423,97.71419437340153
grand_forks,2024-12-01,12.0,0,103376.71069066423,97.71419437340153
guam,2024-12-01,12.0,0,103376.59553039816,97.66091219096334
baudette,2024-12-01,12.0,0,103376.59553039816,97.66091219096334
kapolei,2024-12-01,12.0,0,103376.59553039816,97.66091219096334
duluth,2024-12-01,12.0,0,103376.59553039816,97.66091219096334
sagarai,2024-12-01,12.0,0,103376.59553039816,97.66091219096334
key_largo,2024-12-01,12.0,0,103376.59553039816,97.66091219096334
victorville,2024-12-01,12.0,0,103376.59553039816,97.66091219096334
augusta,2024-12-01,12.0,0,103376.59553039816,97.66091219096334
hilton_head_island,2024-12-01,12.0,0,103376.48037026018,97.57566069906224
lafayette,2024-12-01,12.0,0,103376.48037026018,97.57566069906224
dover-cheswold,2024-12-01,12.0,0,103376.48037026018,97.57566069906224
port_huron,2024-12-01,12.0,0,103376.48037026018,97.57566069906224
watertown,2024-12-01,12.0,0,103376.48037026018,97.57566069906224
greensboro:high_poin,2024-12-01,12.0,0,103376.48037026018,97.57566069906224
winston-salem,2024-12-01,12.0,0,103376.48037026018,97.57566069906224
napa,2024-12-01,12.0,0,103376.48037026018,97.57566069906224
tacoma,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
weslaco,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
marco_island,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
wichita_falls,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
sault_ste_marie,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
cahokia:st_louis,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
westfield,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
new_haven,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
port_angeles,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
cheyenne,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
saginlaw,2024-12-01,12.0,0,103376.3652102505,97.47442455242967
clinton,2024-12-01,12.0,0,103376.25005036929,97.37851662404093
lorain-elyria,2024-12-01,12.0,0,103376.25005036929,97.37851662404093
new_bedford,2024-12-01,12.0,0,103376.25005036929,97.37851662404093
reading,2024-12-01,12.0,0,103376.25005036929,97.37851662404093
pensacola,2024-12-01,12.0,0,103376.25005036929,97.37851662404093
grant_county_airport,2024-12-01,12.0,0,103376.25005036929,97.37851662404093
battle_creek,2024-12-01,12.0,0,103376.25005036929,97.37851662404093
cocoa,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
placida,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
monterey,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
aiken,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
ithaca,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
akron,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
international_falls,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
elmira,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
huntsville,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
pierre,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
galveston,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
presidio,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
cedar_rapids,2024-12-01,12.0,0,103376.13489061617,97.27195225916454
provo,2024-12-01,12.0,0,103376.01973099135,97.16538789428814
barnstable,2024-12-01,12.0,0,103376.01973099135,97.16538789428814
santa_ana,2024-12-01,12.0,0,103376.01973099135,97.16538789428814
little_rock,2024-12-01,12.0,0,103376.01973099135,97.16538789428814
college_station,2024-12-01,12.0,0,103376.01973099135,97.16538789428814
calliano,2024-12-01,12.0,0,103376.01973099135,97.16538789428814
georgetown,2024-12-01,12.0,0,103376.01973099135,97.16538789428814
helena,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
panama_city,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
groton,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
lima,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
burlington:mount_vernon,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
page,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
mountain_view,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
oxford,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
racine,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
sheboygan,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
kenosha,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
kenmore,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
baton_rouge,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
westhampton,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
binghamton,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
worcester,2024-12-01,12.0,0,103375.9045714948,97.0428388746803
lubbock,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
ocala,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
waukesha,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
kingston,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
saranac_lake,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
pinecreek,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
palm_beach_gardens,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
knoxville,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
olympia,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
warroad,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
clarksburg,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
ponce,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
ogdensburg,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
madison,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
modesto,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
sebring,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
champaign,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
queensbury,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
ogden,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
billings,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
scotia,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
vieques_island,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
manchester,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
henderson,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
brunswick,2024-12-01,12.0,0,103375.78941212673,96.82438192668373
smithfield,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
nairobi,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
louisiana,2024-12-01,4.664914586070959,1,103375.67425288676,96.1583546462063
fort_collins,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
pendleton,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
shreveport,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
lake_charles,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,4.467805519053877,1,103375.67425288676,96.1583546462063
unknown,2024-12-01,4.23784494086728,1,103375.67425288676,96.1583546462063
butte,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,6.471747700394218,1,103375.67425288676,96.1583546462063
fort_dix,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
vineyard_haven,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
bush_field,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,6.931668856767411,1,103375.67425288676,96.1583546462063
unknown,2024-12-01,6.307490144546649,1,103375.67425288676,96.1583546462063
unknown,2024-12-01,8.902759526938238,1,103375.67425288676,96.1583546462063
unknown,2024-12-01,3.7450722733245727,1,103375.67425288676,96.1583546462063
hailey,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
decatur,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
louisiana,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
louisiana,2024-12-01,4.566360052562418,1,103375.67425288676,96.1583546462063
unknown,2024-12-01,4.106438896189225,1,103375.67425288676,96.1583546462063
burbank,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
monroe,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
jacksn_hole,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
hampton,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
lakehurst,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
thomasville,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
auburn,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
broomfield,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
stratford,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
state_college,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
fort_wayne,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
hayward,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
nashua,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
pittsfield,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
lincoln,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
montrose,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
twin_falls,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
marshfield,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
plattsburgh,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
bridgeport_ct,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
council_bluffs,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
beverly,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
tokeen,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
durango,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,4.434954007884363,1,103375.67425288676,96.1583546462063
san_angelo,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,6.471747700394218,1,103375.67425288676,96.1583546462063
unknown,2024-12-01,3.9421813403416555,1,103375.67425288676,96.1583546462063
kissimmee,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
bakersfield,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
massena,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,4.0078843626806835,1,103375.67425288676,96.1583546462063
fernandina_beach,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
west_bend,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
fayetteville,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
waterloo,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
ketchikan,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
santa_fe,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
easton,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
lawrenceville,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
fairhope,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
fairfield,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
wausau,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
alexandria,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
gulfport,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
lawrence,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
hyannis,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
waukegan,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
edinburg,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
kennesaw,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
valdosta,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
oceana,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
telluride,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
st._augustine,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
newport_news,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
latrobe,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
huntington,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
charlottesville,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
beaumont,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
topeka,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
sitka,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
lansing,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,4.697766097240473,1,103375.67425288676,96.1583546462063
unknown,2024-12-01,4.993429697766097,1,103375.67425288676,96.1583546462063
belmar,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,6.3731931668856765,1,103375.67425288676,96.1583546462063
unknown,2024-12-01,6.14323258869908,1,103375.67425288676,96.1583546462063
belmar:farmingdale,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
unknown,2024-12-01,4.763469119579501,1,103375.67425288676,96.1583546462063
beaufort,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
gulf_shores,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
santa_monica,2024-12-01,12.0,0,103375.67425288676,96.1583546462063
